account_id,customer_id,account_type,account_subtype,status,open_date,close_date,interest_rate,overdraft_limit,branch_code,created_date,last_updated
A10001,C001,DEPOSIT,CHECKING,ACTIVE,2022-01-15,,0.01,500,BR001,2022-01-15,2024-01-10
A10002,C001,DEPOSIT,SAVINGS,ACTIVE,2022-01-15,,3.50,0,BR001,2022-01-15,2024-01-10
A10003,C002,DEPOSIT,CHECKING,ACTIVE,2021-06-20,,0.01,1000,BR002,2021-06-20,2024-02-14
A10004,C002,DEPOSIT,MONEY_MARKET,ACTIVE,2021-06-20,,4.25,0,BR002,2021-06-20,2024-02-14
A10005,C003,DEPOSIT,CHECKING,ACTIVE,2024-03-01,,0.01,0,BR003,2024-03-01,2024-03-01
A10006,C004,DEPOSIT,SAVINGS,ACTIVE,2020-09-10,,3.75,0,BR001,2020-09-10,2024-01-22
A10007,C004,DEPOSIT,MONEY_MARKET,ACTIVE,2020-09-10,,4.50,0,BR001,2020-09-10,2024-01-22
A10008,C005,DEPOSIT,CHECKING,ACTIVE,2019-05-05,,0.01,2500,BR004,2019-05-05,2023-12-01
A10009,C005,DEPOSIT,SAVINGS,ACTIVE,2019-05-05,,3.50,0,BR004,2019-05-05,2023-12-01
A10010,C006,DEPOSIT,CHECKING,ACTIVE,2023-07-18,,0.01,200,BR002,2023-07-18,2023-07-18
A10011,C007,DEPOSIT,MONEY_MARKET,ACTIVE,2018-11-30,,4.75,0,BR001,2018-11-30,2024-03-05
A10012,C008,DEPOSIT,CHECKING,ACTIVE,2022-04-22,,0.01,500,BR003,2022-04-22,2024-02-28
A10013,C009,DEPOSIT,CHECKING,SUSPENDED,2023-01-10,,0.01,0,BR004,2023-01-10,2024-01-15
A10014,C010,DEPOSIT,SAVINGS,ACTIVE,2021-03-14,,3.50,0,BR002,2021-03-14,2024-03-10
A10015,C010,DEPOSIT,CHECKING,ACTIVE,2021-03-14,,0.01,300,BR002,2021-03-14,2024-03-10
